                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231025"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                           log_surface_h1                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      697                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0576567403218506E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0576567403218506E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311523171172E-001                 -5.1045100624989415E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100624989415E+000                 -5.1045100625338229E+000                 -1.5199699143785590E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375648431601761E+000                  7.1907374135922394E-002                  2.8347716161210590E-001                  3.8711133040789214E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985549743025E+001                  9.2111672865147848E-002                  6.6023231492785728E+000                  6.1539126371294128E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                       5                                      698                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311522832537E-001                 -5.1045100624592896E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100624592896E+000                 -5.1045100624941711E+000                 -1.5199699143662913E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375646833061070E+000                  7.1906742977108487E-002                  2.8347716574083764E-001                  3.8711132958214578E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985549759895E+001                  9.2111672878458187E-002                  6.6023231492821335E+000                  6.1539126371293940E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      10                                      698                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311521810250E-001                 -5.1045100623362503E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100623362503E+000                 -5.1045100623711317E+000                 -1.5199699143277380E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375644579416271E+000                  7.1905839211797620E-002                  2.8347716458714256E-001                  3.8711132981288481E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985549811204E+001                  9.2111672918403942E-002                  6.6023231492934862E+000                  6.1539126371293373E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      15                                      698                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311519208936E-001                 -5.1045100620202311E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1045100620202311E+000                 -5.1045100620551134E+000                 -1.5199699142281693E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643755553604E+000                  7.1905508582592453E-002                  2.8347716404507167E-001                  3.8711132992129897E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985549941972E+001                  9.2111673019632995E-002                  6.6023231493230057E+000                  6.1539126371291919E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      20                                      698                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.3569502702301690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311512661818E-001                 -5.1045100612230883E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.1045100612230874E+000                 -5.1045100612579697E+000                 -1.5199699139765102E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643601051557E+000                  7.1905446474595097E-002                  2.8347716389148292E-001                  3.8711132995201671E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985550270733E+001                  9.2111673273532549E-002                  6.6023231493978107E+000                  6.1539126371288155E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      25                                      698                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1074250202176797E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.1074250202176797E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311496282364E-001                 -5.1045100592289545E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100592289545E+000                 -5.1045100592638359E+000                 -1.5199699133465888E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643618957367E+000                  7.1905453359065494E-002                  2.8347716375255644E-001                  3.8711132997980200E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985551092170E+001                  9.2111673907307470E-002                  6.6023231495852910E+000                  6.1539126371278796E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      30                                      698                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0686871413283405E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0686871413283405E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311455435938E-001                 -5.1045100542568198E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100542568198E+000                 -5.1045100542917021E+000                 -1.5199699117758037E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643631473071E+000                  7.1905457416531926E-002                  2.8347716327814898E-001                  3.8711133007468352E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985553139395E+001                  9.2111675486279923E-002                  6.6023231500531088E+000                  6.1539126371255359E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      35                                      698                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0603005334556951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0603005334556951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311353714523E-001                 -5.1045100418739899E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100418739908E+000                 -5.1045100419088723E+000                 -1.5199699078639259E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643632835351E+000                  7.1905455418277253E-002                  2.8347716200656520E-001                  3.8711133032900027E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985558236997E+001                  9.2111679417317252E-002                  6.6023231512185747E+000                  6.1539126371197073E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999997E-001                  2.6997126656600784E-001                  3.1021950247075397E-003                  8.4424748806345845E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
                                      40                                      698                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0584170772494292E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999920149996E-001                  3.0584170772494292E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3569502702301690E-002                  3.4510311100532221E-001                 -5.1045100110529544E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1045100110529544E+000                 -5.1045100110878368E+000                 -1.5199698981273206E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6375643630472712E+000                  7.1905448089025784E-002                  2.8347715881446695E-001                  3.8711133096741990E+000                 -1.7447274948966935E+000                  0.0000000000000000E+000                  1.4822985570924523E+001                  9.2111689200824812E-002                  6.6023231541198593E+000                  6.1539126371051878E-001                  8.5600478890566556E-001                  1.2810654563477804E+000                  7.1199999999999986E-001                  2.6997126656600778E-001                  3.1021950247075384E-003                  8.4424748806345828E-003                  7.1199999999999997E-001                  2.6997126656600778E-001                  3.1021950247075397E-003                  8.4424748806345880E-003                 -1.4752000636314364E-001                  7.1199999999999986E-001                  2.6997126656600789E-001                                        0                                        2 
