                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       1                                      697                  1.0000000000000000E+000                  1.7999999999999999E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  4.3407506920701298E+003                  1.1800689249682030E+000                  1.9207779505092373E+000                 -4.1081866932302233E+000                  7.1199999999999997E-001                  2.8733433992169409E-005                  2.6997126656600784E-001                  3.1021950247075397E-003                  9.0930846684024577E-004                  8.4424748806345845E-003                  1.8765219814875324E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  7.1199999999999952E-001                  2.8733433992169372E-005                  2.6997126656600789E-001                  3.1021950247075388E-003                  9.0930846684024534E-004                  8.4424748806345862E-003                  1.8765219814875307E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6642366531795593E+004                  1.0389541268164797E+007                  8.4740812917088299E+009                  7.8612197667953768E-006                  7.8612197667953785E-006                  0.0000000000000000E+000                  3.1457767720989497E-007                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1557600000000002E+002                               "r22.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231025"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                 tri_alfa 
                                       1                  1.0000000000000000E+000                  2.8347716161210590E-001                  3.6376050110869018E+000                 -6.7961018271729898E+000                  4.6485810446759688E+000                  7.1199999999999997E-001                  2.7000000000000002E-001                  1.8000000000000016E-002                  2.4278698291301897E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999899991E-001                  2.8347698152403028E-001                  3.6376954431501600E+000                 -6.7954722277582542E+000                  4.6493031597689800E+000                  7.1199999999999997E-001                  2.7000000000000002E-001                  1.8000000000000016E-002                  2.4313934381718090E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999775002E-001                  2.8347675673972517E-001                  3.6377960892554051E+000                 -6.7947742560905402E+000                  4.6501041058300494E+000                  7.1199999999999997E-001                  2.7000000000000002E-001                  1.8000000000000016E-002                  2.4353056771116187E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999650002E-001                  2.8347653231604308E-001                  3.6379472970326718E+000                 -6.7937303179841244E+000                  4.6513027645468901E+000                  7.1199999999999997E-001                  2.7000000000000002E-001                  1.8000000000000016E-002                  2.4411688654400544E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999400002E-001                  2.8347608454526646E-001                  3.6382506850605449E+000                 -6.7916533634625766E+000                  4.6536902122793506E+000                  7.1199999999999997E-001                  2.7000000000000002E-001                  1.8000000000000016E-002                  2.4528759226115981E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999998900002E-001                  2.8347519327216603E-001                  3.6389630504288095E+000                 -6.7868624354292839E+000                  4.6592104528171481E+000                  7.1199999999999997E-001                  2.7000000000000007E-001                  1.8000000000000016E-002                  2.4800952960373244E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999997650002E-001                  2.8347298951102035E-001                  3.6399975960610353E+000                 -6.7801559583006101E+000                  4.6669769031327872E+000                  7.1199999999999997E-001                  2.7000000000000007E-001                  1.8000000000000016E-002                  2.5187059445193933E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999996400013E-001                  2.8347081948667818E-001                  3.6415732400180967E+000                 -6.7703759505619816E+000                  4.6783724413361591E+000                  7.1199999999999997E-001                  2.7000000000000007E-001                  1.8000000000000016E-002                  2.5760917925331525E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999993899991E-001                  2.8346657598661107E-001                  3.6448213105848493E+000                 -6.7517774799583421E+000                  4.7003047425073943E+000                  7.1199999999999997E-001                  2.7000000000000007E-001                  1.8000000000000016E-002                  2.6888542604111732E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
