                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                           log_surface_h1                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     170                                      783                  6.0866439092247248E+007                  6.8474520614953560E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.8143346947491698E-002                  3.5991678383437087E-002                  7.8130010645188763E-008                  9.9999999996712530E-001                  9.7574378711352616E-001                  3.5991678383437087E-002                  7.8130010645188763E-008                  9.9999999996712530E-001                  9.7574378711352616E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4867592125262688E-001                 -4.7597432881166895E+001                 -9.8999999999999986E+001                 -1.4867592125262688E-001                 -1.6693571062756457E-001                 -1.5340623753787024E+000                 -4.7597432881166895E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7528518240279087E+000                 -1.4445974147977717E-001                 -5.5280357931209716E-002                  4.5486283431655528E+000                 -1.8454977848506113E+000                  0.0000000000000000E+000                  1.7174070398461236E+001                  1.9058953404159977E+000                  7.1255685351940992E+000                  6.0233612839128181E-001                  8.6986842083666149E-001                  1.2468302975844199E+000                  7.3971137157599010E-001                  2.4570137351793470E-001                  1.1392232484184652E-003                  6.7024208488105554E-003                  7.4098856396375712E-001                  2.4469958920084173E-001                  2.4616459787516797E-003                  6.6992513929988841E-003                 -1.3018849464653007E-001                  7.4068182604412125E-001                  2.4489059230028226E-001                                        0                                        5 
                                     175                                      775                  1.2371562110932502E+008                  7.2433582917334798E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.4438355039410003E-002                  9.9999999996712530E-001                  9.7584137229252854E-001                  1.4374894976425689E-002                  7.8130010811722217E-008                  9.9999999996712530E-001                  9.7584137229252854E-001                  1.4374894976425689E-002                  7.8130010811722217E-008                  9.7632828407623995E-001                  6.5169621955419421E-001                 -1.4137094363701869E-001                 -4.7626563871568159E+001                 -9.8999999999999986E+001                 -1.4137094363701896E-001                 -1.4856018315531949E-001                 -1.9260619630752731E+000                 -4.7626563871568159E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7530551128514507E+000                 -1.4131725311562979E-001                 -5.4115691396219912E-002                  4.5462990100955727E+000                 -1.8466006521846690E+000                  0.0000000000000000E+000                  1.7180714687592246E+001                  1.9149811528769849E+000                  7.1243357798988187E+000                  6.0413047081568338E-001                  8.6788025843976158E-001                  1.2515465132222119E+000                  7.3573776771208765E-001                  2.4951593330521277E-001                  1.7330236785120440E-004                  6.7050333314150863E-003                  7.4140371737653876E-001                  2.4430504683695328E-001                  2.4582898509467460E-003                  6.6901178522434821E-003                 -1.2994524076117517E-001                  7.4019619865661490E-001                  2.4528989432632961E-001                                        0                                       10 
                                     180                                      770                  2.8010449770605993E+008                  7.6392645219716044E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.1651411991748327E-003                  9.9999999996712530E-001                  9.7600503714699804E-001                  1.7168359281348744E-003                  7.8130010756211066E-008                  9.9999999996712530E-001                  9.7600503714699804E-001                  1.7168359281348744E-003                  7.8130010756211066E-008                  9.7632828407623995E-001                  6.5440173001687807E-001                 -1.3469156923036810E-001                 -4.7528775746620191E+001                 -9.8999999999999986E+001                 -1.3469156923036815E-001                 -1.3801812695294507E-001                 -2.2521430339658752E+000                 -4.7528775746620191E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7534401799742927E+000                 -1.3467372307646333E-001                 -5.1564060622319337E-002                  4.5411957485477714E+000                 -1.8493033868143574E+000                  0.0000000000000000E+000                  1.7186747105451495E+001                  1.9238919703551807E+000                  7.1249091205983790E+000                  6.0901230766616354E-001                  8.6250499569677253E-001                  1.2643180394332092E+000                  7.2499024766088827E-001                  2.6022924160273930E-001                  1.1055818154869433E-005                  6.7114656098692235E-003                  7.4242153111841636E-001                  2.4333792180345692E-001                  2.4500390223735850E-003                  6.6676636182515696E-003                 -1.2934944154360811E-001                  7.3902712709021046E-001                  2.4634148076308243E-001                                        0                                       10 
                                     185                                      769                  6.6925006711924732E+008                  8.0351707522097282E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.0928390609535539E-004                  9.9999999996712530E-001                  9.7641615298237705E-001                  6.7635997538506576E-005                  7.8130010867233368E-008                  9.9999999996712530E-001                  9.7641615298237705E-001                  6.7635997538506576E-005                  7.8130010867233368E-008                  9.7704557445470175E-001                  6.6149663936017078E-001                 -1.2288225945539190E-001                 -4.7172868969753807E+001                 -1.5954589770191003E+001                 -1.2288225945539183E-001                 -1.2463490030486213E-001                 -2.5178496667311485E+000                 -4.7172868969753807E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7542320139304275E+000                 -1.2282198365540629E-001                 -4.7221858824060867E-002                  4.5325113449512546E+000                 -1.8560687461099235E+000                  0.0000000000000000E+000                  1.7199390298823136E+001                  1.9419324773278883E+000                  7.1289322874749486E+000                  6.2245614853955322E-001                  8.4819091954798786E-001                  1.2996081208200676E+000                  6.9636506190430114E-001                  2.8882181796092687E-001                  1.0384895169607351E-005                  6.7266046612146141E-003                  7.4492326475725490E-001                  2.4096136395437423E-001                  2.4296318370448438E-003                  6.6121264427515857E-003                 -1.2788846202873821E-001                  7.3613635192118643E-001                  2.4907202586206306E-001                                        0                                       10 
                                     190                                      771                  1.4406663939804161E+009                  8.1519868930020376E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996712530E-001                  9.7743114777138096E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996712530E-001                  9.7743114777138096E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7774218013214564E-001                  6.7178515045821785E-001                 -1.0060921742632987E-001                 -4.6434682105277709E+001                 -1.5477468515471340E+001                 -1.0060921742632969E-001                 -1.0180188098334914E-001                 -2.6624717748629458E+000                 -4.6434682105277709E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7557449464277068E+000                 -1.0053854350001892E-001                 -3.9106003740925564E-002                  4.5162796347849836E+000                 -1.8652330328547968E+000                  0.0000000000000000E+000                  1.7226060563633784E+001                  1.9798397975073629E+000                  7.1379786706754675E+000                  6.5231284439387061E-001                  8.1838248746708686E-001                  1.3798122176669507E+000                  6.3675173244001093E-001                  3.4836355339629804E-001                  1.0964139996763912E-005                  6.7512503116298360E-003                  7.4983588898643561E-001                  2.3629557097790185E-001                  2.3892788851700006E-003                  6.5023078208243778E-003                 -1.2503377701694515E-001                  7.3025934363412215E-001                  2.5477480798026936E-001                                        0                                       10 
                                     195                                      772                  2.0940664257864738E+009                  8.1070671322328298E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.7843280377802622E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.7843280377802622E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7907551915265723E-001                  6.8455901781748985E-001                 -8.1248083823499351E-002                 -4.5794854356375886E+001                 -1.5954589770191003E+001                 -8.1248083823499295E-002                 -8.2414121001892993E-002                 -2.6529028854057675E+000                 -4.5794854356375886E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7569853379436497E+000                 -8.1175879951678659E-002                 -3.1905454998640823E-002                  4.5018785373004144E+000                 -1.8711385940406817E+000                  0.0000000000000000E+000                  1.7250712772659334E+001                  2.0143378228898654E+000                  7.1463138273086573E+000                  6.8039408964657311E-001                  7.9273987275260649E-001                  1.4571714305390155E+000                  5.8546906268456067E-001                  3.9958697410118288E-001                  1.1497854376767202E-005                  6.7642698621678422E-003                  7.5397962902092919E-001                  2.3236040415230347E-001                  2.3550719786019666E-003                  6.4092153662414922E-003                 -1.2264038771552338E-001                  7.2507847152874794E-001                  2.5986212518977159E-001                                        0                                       10 
                                     200                                      773                  2.7269355680993094E+009                  8.0998554089786285E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.7933367693567130E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.7933367693567130E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7971331318786270E-001                  6.9470337254722025E-001                 -6.1763545342141721E-002                 -4.5160987210784164E+001                 -9.8999999999999986E+001                 -6.1763545342141776E-002                 -6.3082266464621548E-002                 -2.5800540878490348E+000                 -4.5160987210784164E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7581612453249211E+000                 -6.1691114342645188E-002                 -2.4514886956668393E-002                  4.4870974012164693E+000                 -1.8774908080037567E+000                  0.0000000000000000E+000                  1.7276432476501590E+001                  2.0487079979274809E+000                  7.1548990993826553E+000                  7.0844165677904014E-001                  7.6756285658016565E-001                  1.5420555076081015E+000                  5.3511721183175864E-001                  4.4988373071233323E-001                  1.2088715114491993E-005                  6.7659210618981900E-003                  7.5796415838390119E-001                  2.2857723719235185E-001                  2.3219500209439624E-003                  6.3190755480488836E-003                 -1.2035133023089681E-001                  7.1984802667795444E-001                  2.6502731492001602E-001                                        0                                       10 
                                     205                                      775                  3.3519221618952870E+009                  8.0949250578694727E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.8026039380704322E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996400035E-001                  9.8026039380704322E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8033254420894811E-001                  7.0548711060733771E-001                 -4.1700097820064869E-002                 -4.4522608893131817E+001                 -1.5352529778863040E+001                 -4.1700097820064660E-002                 -4.3330906424545693E-002                 -2.4678965640511819E+000                 -4.4522608893131817E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7592959921360496E+000                 -4.1628065182487579E-002                 -1.6752855998845701E-002                  4.4715733393008241E+000                 -1.8838707507325718E+000                  0.0000000000000000E+000                  1.7303744172482801E+001                  2.0850776755883489E+000                  7.1638458218640828E+000                  7.3912101568474242E-001                  7.4241509944212181E-001                  1.6373206020077515E+000                  4.8482357104902307E-001                  5.0012646737064459E-001                  1.2765622223646573E-005                  6.7511065990346029E-003                  7.6187434177714597E-001                  2.2486537816153956E-001                  2.2892110803609481E-003                  6.2299780924442863E-003                 -1.1811665224696284E-001                  7.1445182579239419E-001                  2.7037533411969966E-001                                        0                                       10 
                                     210                                      776                  3.9685617672712884E+009                  8.0880619957066564E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.8113737975920179E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.8113737975920179E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8151730903426193E-001                  7.2043551051329380E-001                 -2.1052955201875421E-002                 -4.3864687510017639E+001                 -9.8999999999999986E+001                 -2.1052955201875421E-002                 -2.3206026857935005E-002                 -2.3268548738204715E+000                 -4.3864687510017639E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7603657288584698E+000                 -2.0984726584041245E-002                 -8.5706601444629979E-003                  4.4552089475920589E+000                 -1.8903095528556548E+000                  0.0000000000000000E+000                  1.7333062604457709E+001                  2.1252670661024342E+000                  7.1734593743584689E+000                  7.7512868523287914E-001                  7.1719412745749489E-001                  1.7454619491117096E+000                  4.3438324733396672E-001                  5.5052159765684860E-001                  1.3583318730890829E-005                  6.7108061782686374E-003                  7.6574542884875940E-001                  2.2119050166447857E-001                  2.2566980901082977E-003                  6.1414955498200674E-003                 -1.1591558705378953E-001                  7.0887781929178884E-001                  2.7591326880374162E-001                                        0                                       10 
