                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231101"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                              cz_bot_mass                            cz_bot_radius                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                           log_surface_h1                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     168                                      788                  4.7963355933087640E+007                  6.6890895694001067E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  5.3139091406482639E-002                  5.1223801327725194E-002                  7.8130010978255671E-008                  9.9999999996087541E-001                  9.7659211974555271E-001                  5.1223801327725194E-002                  7.8130010978255671E-008                  9.9999999996087541E-001                  9.7659211974555271E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5008392773872212E-001                 -4.7127237240137426E+001                 -1.5352529778863040E+001                 -1.5008392773872184E-001                 -1.8689839321848986E-001                 -1.2401269509913366E+000                 -4.7127237240137426E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7469875650364690E+000                 -1.4973943550494667E-001                 -4.6191686960915516E-002                  4.5304510012249635E+000                 -1.7449890260025920E+000                  0.0000000000000000E+000                  1.7163417207244891E+001                  1.8977295470378341E+000                  7.1327150001106752E+000                  6.1546293336759694E-001                  8.5582565658099241E-001                  1.2815962981700477E+000                  7.1162780459749109E-001                  2.7011365907422424E-001                  1.9071863125576989E-003                  8.4373129509559899E-003                  7.1204973560318829E-001                  2.6993236166481566E-001                  3.1003274526090743E-003                  8.4373923727962645E-003                 -1.4748967048724326E-001                  7.1195977784455644E-001                  2.6994080456176306E-001                                        0                                        5 
                                     170                                      781                  6.0866439092247248E+007                  6.8474520614953560E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  4.1755362619301871E-002                  4.0291581239480789E-002                  7.8130011033766822E-008                  9.9999999996087541E-001                  9.7613230873765822E-001                  4.0291581239480789E-002                  7.8130011033766822E-008                  9.9999999996087541E-001                  9.7613230873765822E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4909877735539148E-001                 -4.7153796747563135E+001                 -1.5954589770191003E+001                 -1.4909877735539143E-001                 -1.7569493324145891E-001                 -1.3752944345080740E+000                 -4.7153796747563135E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7470936010302625E+000                 -1.4812743444231313E-001                 -4.5597758417184761E-002                  4.5292631441375022E+000                 -1.7449890260025920E+000                  0.0000000000000000E+000                  1.7167314532751814E+001                  1.9025506379087296E+000                  7.1319987294483758E+000                  6.1582210583991881E-001                  8.5545083316276371E-001                  1.2825618493714321E+000                  7.1087900400291193E-001                  2.7076258255415137E-001                  1.2926399293389200E-003                  8.4372444956060753E-003                  7.1204973557956230E-001                  2.6993236166414619E-001                  3.1003274526090743E-003                  8.4373923727962645E-003                 -1.4748967050165326E-001                  7.1185657020289805E-001                  2.7001590015526339E-001                                        0                                        5 
                                     175                                      773                  1.2371562110932502E+008                  7.2433582917334798E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.3487300738412920E-002                  9.9999999996087541E-001                  9.7680421756929325E-001                  1.2595569981687038E-002                  7.8130011033766822E-008                  9.9999999996087541E-001                  9.7680421756929325E-001                  1.2595569981687038E-002                  7.8130011033766822E-008                  9.7704557445470208E-001                  6.6635427880315223E-001                 -1.3960497334732413E-001                 -4.7145870891234715E+001                 -9.8999999999999986E+001                 -1.3960497334732433E-001                 -1.4937722668127332E-001                 -1.7922715322666922E+000                 -4.7145870891234715E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7481078693100880E+000                 -1.3923461943926688E-001                 -4.3179887475311575E-002                  4.5244274022537558E+000                 -1.7449890260025973E+000                  0.0000000000000000E+000                  1.7179651243292664E+001                  1.9167238718731527E+000                  7.1313173564855523E+000                  6.1764298562841269E-001                  8.5353301506168455E-001                  1.2873888183910893E+000                  7.0704654966743463E-001                  2.7441157532587734E-001                  1.3421651813766766E-004                  8.4367372577158917E-003                  7.1204973548916384E-001                  2.6993236166414619E-001                  3.1003274526090743E-003                  8.4373923727962645E-003                 -1.4748967055678924E-001                  7.1137420727849632E-001                  2.7041499657025114E-001                                        0                                       10 
                                     180                                      763                  2.8010449770605993E+008                  7.6392645219716044E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.5709859248363943E-003                  9.9999999996087541E-001                  9.7714172885392170E-001                  8.5369374410942944E-004                  7.8130011033766822E-008                  9.9999999996087541E-001                  9.7714172885392170E-001                  8.5369374410942944E-004                  7.8130011033766822E-008                  9.7774218013214576E-001                  6.7162780763781038E-001                 -1.3243275495393261E-001                 -4.7030005410133818E+001                 -1.5954589770191003E+001                 -1.3243275495393256E-001                 -1.3701480533332980E-001                 -2.1114462172218995E+000                 -4.7030005410133818E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7486540177225174E+000                 -1.3237728793244563E-001                 -4.0843518546761069E-002                  4.5197546643966549E+000                 -1.7449890260025920E+000                  0.0000000000000000E+000                  1.7187086367474379E+001                  1.9266367966560300E+000                  7.1323293911785344E+000                  6.2271392627588118E-001                  8.4822162295091641E-001                  1.3007360388374340E+000                  6.9642664505809171E-001                  2.8502024521177355E-001                  1.3299385226591316E-005                  8.4345028940371342E-003                  7.1204973528372739E-001                  2.6993236166414653E-001                  3.1003274526090743E-003                  8.4373923727962645E-003                 -1.4748967068208937E-001                  7.1020531493005623E-001                  2.7147201956898909E-001                                        0                                       10 
                                     185                                      763                  6.6925006711924732E+008                  8.0351707522097282E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7757665346739264E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7757665346739264E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7774218013214576E-001                  6.7544057904426769E-001                 -1.2065029246811898E-001                 -4.6679475262282146E+001                 -1.5954589770191003E+001                 -1.2065029246811892E-001                 -1.2306223331263409E-001                 -2.3772733640060131E+000                 -4.6679475262282146E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7495882995003056E+000                 -1.2058203178915763E-001                 -3.6814454030693111E-002                  4.5116965353645195E+000                 -1.7449890260025973E+000                  0.0000000000000000E+000                  1.7200028100759315E+001                  1.9450733929918198E+000                  7.1364646400741245E+000                  6.3673878882925528E-001                  8.3390343089417762E-001                  1.3381155032920093E+000                  6.6779258089643423E-001                  3.1366239407063451E-001                  1.3519468801914776E-005                  8.4257976048642807E-003                  7.1204973481435940E-001                  2.6993236166414619E-001                  3.1003274526090717E-003                  8.4373923727962645E-003                 -1.4748967096836701E-001                  7.0730780909181090E-001                  2.7421822984161409E-001                                        0                                       10 
                                     190                                      763                  1.4463413878771493E+009                  8.1618787106243147E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7859473178259593E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7859473178259593E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7907551915265745E-001                  6.8864904004423222E-001                 -9.8352466949307937E-002                 -4.5962268482344655E+001                 -1.5653559774527022E+001                 -9.8352466949307812E-002                 -1.0006080121528940E-001                 -2.5044178132809960E+000                 -4.5962268482344655E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513738153225651E+000                 -9.8278813027337597E-002                 -2.9233876294302269E-002                  4.4965353798917373E+000                 -1.7449890260025920E+000                  0.0000000000000000E+000                  1.7227114657450553E+001                  1.9833486497301505E+000                  7.1455430747817212E+000                  6.6725753897550089E-001                  8.0478033397203619E-001                  1.4211867315390261E+000                  6.0954935031018898E-001                  3.7191781335060342E-001                  1.4165615043820697E-005                  8.4002677763050440E-003                  7.1204973401059857E-001                  2.6993236166414619E-001                  3.1003274526090717E-003                  8.4373923727962645E-003                 -1.4748967145859807E-001                  7.0136568375188124E-001                  2.7999577986370972E-001                                        0                                       10 
                                     195                                      763                  2.1180432632317047E+009                  8.1191269533822918E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7955115884039501E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.7955115884039501E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7971331318786303E-001                  6.9834007463805370E-001                 -7.8574029938836734E-002                 -4.5325259752459431E+001                 -9.8999999999999986E+001                 -7.8574029938837081E-002                 -8.0315776219980983E-002                 -2.4762440313933674E+000                 -4.5325259752459431E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7528684235827705E+000                 -7.8500669821822106E-002                 -2.2334021211954481E-002                  4.4827356697270417E+000                 -1.7449890260025973E+000                  0.0000000000000000E+000                  1.7252494977838577E+001                  2.0187351238052118E+000                  7.1540490922772690E+000                  6.9650391864164696E-001                  7.7914644981654180E-001                  1.5033327966701773E+000                  5.5828385010102211E-001                  4.2319450143632475E-001                  1.4822492028777181E-005                  8.3660750435662155E-003                  7.1204973346874345E-001                  2.6993236166414653E-001                  3.1003274526090717E-003                  8.4373923727962645E-003                 -1.4748967178908720E-001                  6.9601306548024056E-001                  2.8525832635534681E-001                                        0                                       10 
                                     200                                      765                  2.7676283810211315E+009                  8.1105875194343859E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.8046361786112524E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087541E-001                  9.8046361786112524E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8093371305335475E-001                  7.1177899478919093E-001                 -5.8684747144103572E-002                 -4.4693698934606196E+001                 -9.8999999999999986E+001                 -5.8684747144103683E-002                 -6.0727340662268148E-002                 -2.3873080055081060E+000                 -4.4693698934606196E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7542768059875460E+000                 -5.8611792212894802E-002                 -1.5206347217043245E-002                  4.4684803217372195E+000                 -1.7449890260025920E+000                  0.0000000000000000E+000                  1.7278854500616667E+001                  2.0538918864988727E+000                  7.1627772771792610E+000                  7.2580606602789699E-001                  7.5393102274580170E-001                  1.5939604461068728E+000                  5.0785492005823307E-001                  4.7363564712219536E-001                  1.5567136765003933E-005                  8.3155211271497831E-003                  7.1204973306501640E-001                  2.6993236166414653E-001                  3.1003274526090704E-003                  8.4373923727962645E-003                 -1.4748967203532903E-001                  6.9061044572488539E-001                  2.9059806522024512E-001                                        0                                       10 
                                     205                                      766                  3.4062985647971497E+009                  8.1032529739728218E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999995775046E-001                  9.8136439720527613E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775046E-001                  9.8136439720527613E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8151730903426215E-001                  7.2268474696363016E-001                 -3.8293563782748667E-002                 -4.4056882705083062E+001                 -1.5653559774527022E+001                 -3.8293563782748563E-002                 -4.0890004850992423E-002                 -2.2629969790251168E+000                 -4.4056882705083062E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7556202279792901E+000                 -3.8222491441635711E-002                 -7.6985408148999707E-003                  4.4534647089329331E+000                 -1.7449890260025973E+000                  0.0000000000000000E+000                  1.7306728921944760E+001                  2.0914992762741362E+000                  7.1718728379147292E+000                  7.5860478357404026E-001                  7.2871009191915481E-001                  1.6962377920736285E+000                  4.5741470590273486E-001                  5.2409046862254549E-001                  1.6447798584265410E-005                  8.2393765311842056E-003                  7.1204973274987204E-001                  2.6993236166414619E-001                  3.1003274526090704E-003                  8.4373923727962645E-003                 -1.4748967222754236E-001                  6.8505484789819293E-001                  2.9610707122811453E-001                                        0                                       10 
